Index,Is Reference,Name,Brightest Detector,ra,dec,t90,Binsize,Distance,Sigma
55,1,GRB180906597,n2,104.81,-67.02,52.03,1.0,0.0,
82,0,GRB151026523,na,107.39,-73.32,63.232,1.0,19074.0,108.294
85,0,GRB140213807,n1,105.22,-73.14,18.624,1.0,21635.0,124.226
87,0,GRB090513941,n2,99.1,-72.9,11.776,1.0,8582.0,43.02
113,0,GRB140616165,n0,104.94,-70.51,0.512,0.1,188716.0,1658.513
125,0,GRB080905570,n8,96.9,-69.8,26.624,1.0,15181.0,84.074
133,0,GRB170625692,n6,106.7,-69.35,22.784,1.0,1943.0,1.716
134,0,GRB180804931,n8,109.36,-69.32,18.432,1.0,17208.0,96.685
168,0,GRB181208188,n0,104.11,-66.66,62.465,1.0,64915.0,393.485
188,0,GRB120426090,na,111.54,-65.63,2.688,1.0,30602.0,180.013
205,0,GRB190804058,n4,108.02,-64.86,4.224,1.0,2978.0,8.155
207,0,GRB120921877,n4,96.42,-64.77,5.632,1.0,4289.0,16.311
215,0,GRB150805445,n2,95.76,-64.33,45.825,1.0,4988.0,20.66
288,0,GRB140716436,n4,108.17,-60.18,168.253,1.0,8139.0,40.264
289,0,GRB130701060,na,97.79,-60.13,20.224,1.0,15766.0,87.713
56,1,GRB110911071,n2,258.58,-66.98,8.96,1.0,0.0,
100,0,GRB090802666,nb,267.02,-71.77,27.52,1.0,1966.0,12.154
129,0,GRB140322424,n8,250.3,-69.45,10.496,1.0,3110.0,23.058
192,0,GRB161105417,n1,249.25,-65.22,41.473,1.0,13967.0,126.546
199,0,GRB090602564,na,248.94,-65.02,20.736,1.0,3903.0,30.617
208,0,GRB170126480,n9,263.63,-64.76,13.824,1.0,8069.0,70.327
213,0,GRB101213849,n3,260.99,-64.51,5.12,1.0,4506.0,36.365
219,0,GRB140612294,n7,267.38,-64.11,38.913,1.0,3552.0,27.271
278,0,GRB161110179,n1,254.91,-60.62,1.792,0.1,248956.0,404.15
57,1,GRB200908886,n0,169.53,-66.97,6.144,1.0,0.0,
79,0,GRB201227635,n4,170.12,-73.61,0.112,0.1,188438.0,367.048
92,0,GRB191112369,n4,164.42,-72.27,50.432,1.0,5278.0,45.751
101,0,GRB110618366,n2,176.81,-71.69,163.843,1.0,17213.0,162.826
103,0,GRB190906767,n4,171.84,-71.57,23.04,1.0,1048.0,4.257
157,0,GRB150404733,n8,165.91,-67.37,4.864,1.0,1048.0,4.257
210,0,GRB180113418,n1,174.63,-64.74,24.576,1.0,61742.0,599.63
221,0,GRB150204272,n7,160.24,-64.04,11.008,1.0,1802.0,11.653
233,0,GRB140422194,na,164.54,-62.62,361.472,1.0,35842.0,345.566
271,0,GRB081006872,n6,172.2,-61.0,3.328,1.0,656.0,0.412
285,0,GRB080723557,n4,176.8,-60.2,58.369,1.0,37230.0,359.181
58,1,GRB141022087,n2,119.39,-75.17,9.216,1.0,0.0,
60,0,GRB210411564,n7,115.68,-74.84,47.873,1.0,640739.0,1343.682
68,0,GRB141221897,n3,126.02,-74.21,32.513,1.0,626540.0,1313.784
93,0,GRB200616048,n6,116.16,-72.23,23.297,1.0,614606.0,1288.655
102,0,GRB090516137,n7,122.2,-71.62,110.594,1.0,724903.0,1520.899
130,0,GRB210520797,n0,123.0,-69.4,56.065,1.0,651558.0,1366.462
139,0,GRB130420422,na,117.06,-69.03,27.328,1.0,618209.0,1296.242
140,0,GRB081226044,n2,120.5,-69.0,0.832,0.1,628355.0,594.01
59,1,GRB100112418,n3,240.14,-75.1,23.04,1.0,0.0,
70,0,GRB091117080,n2,246.54,-73.94,113.664,1.0,33470.0,246.221
84,0,GRB100604287,n9,248.3,-73.19,13.44,1.0,56412.0,420.268
96,0,GRB141022061,n7,241.9,-72.13,11.52,1.0,4856.0,29.144
118,0,GRB191111547,n3,239.41,-70.42,158.212,1.0,9097.0,61.318
120,0,GRB171020813,n4,234.6,-70.16,19.2,1.0,4697.0,27.938
124,0,GRB120107384,n7,246.4,-69.93,23.04,1.0,3691.0,20.306
60,1,GRB210411564,n7,115.68,-74.84,47.873,1.0,0.0,
82,0,GRB151026523,na,107.39,-73.32,63.232,1.0,11593.0,66.228
93,0,GRB200616048,n6,116.16,-72.23,23.297,1.0,2273.0,4.839
102,0,GRB090516137,n7,122.2,-71.62,110.594,1.0,11408.0,65.009
130,0,GRB210520797,n0,123.0,-69.4,56.065,1.0,3353.0,11.952
134,0,GRB180804931,n8,109.36,-69.32,18.432,1.0,11027.0,62.499
139,0,GRB130420422,na,117.06,-69.03,27.328,1.0,3082.0,10.167
140,0,GRB081226044,n2,120.5,-69.0,0.832,0.1,188427.0,1627.303
61,1,GRB190304818,n4,357.74,-74.84,2.88,1.0,0.0,
104,0,GRB210501205,n9,357.84,-71.3,8.192,1.0,12986.0,106.707
176,0,GRB090926181,n7,353.4,-66.32,13.76,1.0,61840.0,529.021
62,1,GRB200629535,nb,338.46,-65.59,28.16,1.0,0.0,
